date,channel,is_promotion_day,promotion_name,traffic,orders,gmv,conversion_rate,average_order_value,refund_rate
2024-12-01,Store Referral,False,,2559,37,6629.99,0.0145,179.19,0.0582
2024-12-01,SMS Marketing,False,,1756,38,6460.96,0.0216,170.03,0.058
2024-12-01,WeChat Content,False,,1692,25,4634.75,0.0148,185.39,0.1081
2024-12-01,Private Community,False,,2130,51,8627.15,0.0239,169.16,0.0735
2024-12-01,Organic App Traffic,False,,3505,45,8018.07,0.0128,178.18,0.0822
2024-12-02,Store Referral,False,,2487,45,7957.57,0.0181,176.83,0.0763
2024-12-02,SMS Marketing,False,,1280,27,5168.6,0.0211,191.43,0.0981
2024-12-02,WeChat Content,False,,1560,28,4664.92,0.0179,166.6,0.0947
2024-12-02,Private Community,False,,2167,54,9382.66,0.0249,173.75,0.0614
2024-12-02,Organic App Traffic,False,,3857,54,9985.99,0.014,184.93,0.0814
2024-12-03,Store Referral,False,,2088,42,7703.76,0.0201,183.42,0.0887
2024-12-03,SMS Marketing,False,,1356,29,4565.39,0.0214,157.43,0.0876
2024-12-03,WeChat Content,False,,1398,30,5274.36,0.0215,175.81,0.0698
2024-12-03,Private Community,False,,1678,46,8413.68,0.0274,182.91,0.0677
2024-12-03,Organic App Traffic,False,,2672,43,6941.31,0.0161,161.43,0.0831
2024-12-04,Store Referral,False,,2687,44,22816.99,0.0164,518.57,0.0763
2024-12-04,SMS Marketing,False,,1426,31,16038.06,0.0217,517.36,0.0878
2024-12-04,WeChat Content,False,,1887,36,16567.59,0.0191,460.21,0.0724
2024-12-04,Private Community,False,,2014,48,24810.42,0.0238,516.88,0.0759
2024-12-04,Organic App Traffic,False,,3493,52,29722.87,0.0149,571.59,0.0809
2024-12-05,Store Referral,False,,3337,64,29362.42,0.0192,458.79,0.0765
2024-12-05,SMS Marketing,False,,2072,56,25136.87,0.027,448.87,0.0932
2024-12-05,WeChat Content,False,,2723,64,30933.68,0.0235,483.34,0.0716
2024-12-05,Private Community,False,,2861,83,35147.48,0.029,423.46,0.0784
2024-12-05,Organic App Traffic,False,,5081,91,37565.06,0.0179,412.8,0.0815
2024-12-06,Store Referral,False,,5963,176,46514.12,0.0295,264.28,0.097
2024-12-06,SMS Marketing,False,,3300,107,32342.17,0.0324,302.26,0.0741
2024-12-06,WeChat Content,False,,3869,119,33459.75,0.0308,281.17,0.0738
2024-12-06,Private Community,False,,4569,198,59520.02,0.0433,300.61,0.0744
2024-12-06,Organic App Traffic,False,,7317,196,51337.98,0.0268,261.93,0.1041
2024-12-07,Store Referral,False,,7237,242,70852.32,0.0334,292.78,0.0871
2024-12-07,SMS Marketing,False,,3743,163,43743.6,0.0435,268.37,0.0724
2024-12-07,WeChat Content,False,,4243,162,50531.58,0.0382,311.92,0.0707
2024-12-07,Private Community,False,,5769,253,75487.61,0.0439,298.37,0.0674
2024-12-07,Organic App Traffic,False,,9994,264,68302.79,0.0264,258.72,0.1116
2024-12-08,Store Referral,False,,8673,322,88010.41,0.0371,273.32,0.0907
2024-12-08,SMS Marketing,False,,4103,175,50268.73,0.0427,287.25,0.0744
2024-12-08,WeChat Content,False,,4865,191,56557.4,0.0393,296.11,0.0665
2024-12-08,Private Community,False,,6275,310,93101.35,0.0494,300.33,0.0874
2024-12-08,Organic App Traffic,False,,11594,355,97799.66,0.0306,275.49,0.089
2024-12-09,Store Referral,False,,7340,270,66117.15,0.0368,244.88,0.075
2024-12-09,SMS Marketing,False,,4093,195,49754.65,0.0476,255.15,0.0624
2024-12-09,WeChat Content,False,,4979,186,51784.16,0.0374,278.41,0.0723
2024-12-09,Private Community,False,,5953,287,70048.47,0.0482,244.07,0.0671
2024-12-09,Organic App Traffic,False,,9538,264,57337.75,0.0277,217.19,0.0704
2024-12-10,Store Referral,False,,7345,288,71057.82,0.0392,246.73,0.0845
2024-12-10,SMS Marketing,False,,3742,182,45698.77,0.0486,251.09,0.0757
2024-12-10,WeChat Content,False,,4719,189,47266.2,0.0401,250.09,0.071
2024-12-10,Private Community,False,,6584,384,99439.19,0.0583,258.96,0.0791
2024-12-10,Organic App Traffic,False,,11051,311,73725.61,0.0281,237.06,0.083
2024-12-11,Store Referral,False,,7016,249,57478.84,0.0355,230.84,0.0468
2024-12-11,SMS Marketing,False,,4493,219,54728.66,0.0487,249.9,0.0925
2024-12-11,WeChat Content,False,,5757,201,49234.3,0.0349,244.95,0.0771
2024-12-11,Private Community,False,,5367,273,58952.43,0.0509,215.94,0.0661
2024-12-11,Organic App Traffic,False,,11558,332,89727.08,0.0287,270.26,0.0716
2024-12-12,Store Referral,True,Double 12 Mega Sale,9258,267,56901.51,0.0288,213.11,0.0921
2024-12-12,SMS Marketing,True,Double 12 Mega Sale,5941,223,45526.23,0.0375,204.15,0.1137
2024-12-12,WeChat Content,True,Double 12 Mega Sale,6745,240,57799.11,0.0356,240.83,0.0999
2024-12-12,Private Community,True,Double 12 Mega Sale,8706,436,94072.94,0.0501,215.76,0.0865
2024-12-12,Organic App Traffic,True,Double 12 Mega Sale,12717,330,71292.3,0.0259,216.04,0.0965
2024-12-13,Store Referral,False,,5273,154,31254.73,0.0292,202.95,0.1062
2024-12-13,SMS Marketing,False,,3526,140,25560.75,0.0397,182.58,0.0941
2024-12-13,WeChat Content,False,,4161,144,24068.23,0.0346,167.14,0.0769
2024-12-13,Private Community,False,,5046,207,37693.51,0.041,182.09,0.0914
2024-12-13,Organic App Traffic,False,,8770,249,50334.99,0.0284,202.15,0.0854
