campaign_id,brand,category,subcategory,sku_id,product_name,campaign_type,start_date,end_date,duration_days,base_price,final_price,discount_rate,stock_quantity,traffic,click_through_rate,conversion_rate,orders,gmv,sell_through_rate,refund_rate,overpriced_flag,weak_listing_flag
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0050,NorthPeak Athletics Comfort Fit Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,642.0,573.0,0.107,508,10,0.2988,0.0424,0,0.0,0.0,0.0328,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0087,NorthPeak Athletics Classic Swimwear,New Arrival Launch,2024-12-28,2025-01-01,4,574.0,506.4,0.118,462,20,0.2945,0.0269,0,0.0,0.0,0.0852,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Training Shoes,NPA-0012,NorthPeak Athletics Lumen Training Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,235.0,239.4,0.091,729,94,0.2393,0.0101,0,0.0,0.0,0.1078,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Yoga Set,NPA-0072,NorthPeak Athletics Lumen Yoga Set,New Arrival Launch,2024-12-28,2025-01-01,4,268.0,244.4,0.088,621,646,0.3356,0.0362,23,5622.08,0.037,0.0706,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Outdoor Sandals,NPA-0037,NorthPeak Athletics Limited Outdoor Sandals,New Arrival Launch,2024-12-28,2025-01-01,4,1113.0,1103.4,0.009,480,145,0.2441,0.0291,4,4413.51,0.0083,0.0886,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0026,NorthPeak Athletics Featherweight Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,620.0,595.0,0.04,257,378,0.4,0.0443,16,9520.65,0.0623,0.0789,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0064,NorthPeak Athletics Minimal Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,667.0,702.8,0.059,302,20,0.2936,0.012,0,0.0,0.0,0.0973,True,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Hiking Shoes,NPA-0086,NorthPeak Athletics Featherweight Hiking Shoes,New Arrival Launch,2024-12-28,2025-01-01,4,446.0,384.6,0.138,329,986,0.3951,0.0385,37,14229.2,0.1125,0.0844,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Swimwear,NPA-0048,NorthPeak Athletics New Season Swimwear,New Arrival Launch,2024-12-28,2025-01-01,4,569.0,557.4,0.02,73,10,0.3874,0.0394,0,0.0,0.0,0.0876,False,False
CAMP00001,NorthPeak Athletics,Sports & Outdoor,Sports Backpack,NPA-0030,NorthPeak Athletics Comfort Fit Sports Backpack,New Arrival Launch,2024-12-28,2025-01-01,4,901.0,816.6,0.094,357,350,0.2883,0.037,12,9799.35,0.0336,0.0646,False,False
